date,visitors,arrived,leftOfTimeout,leftBeforeTimeout,courseParticipants,courseName,courseStatus
2025-11-14T12:44:07,24,2,0,0,3,YAKO TRAINING,PLANNED
2025-11-14T12:53:14,22,0,2,0,3,YAKO TRAINING,PLANNED
2025-11-14T13:10:42,23,3,2,0,3,YAKO TRAINING,PLANNED
2025-11-14T13:33:40,23,2,2,0,,,
2025-11-14T13:58:19,24,3,2,0,,,
2025-11-14T14:17:01,20,0,4,0,,,
2025-11-14T14:34:19,17,0,3,0,,,
2025-11-14T14:46:40,13,5,9,0,,,
2025-11-14T14:55:09,14,1,0,0,,,
2025-11-14T15:06:44,13,0,0,1,0,YAKO CROSS TRAINING,PLANNED
2025-11-14T15:19:50,10,0,2,1,0,YAKO CROSS TRAINING,PLANNED
2025-11-14T15:33:27,7,0,0,3,0,YAKO CROSS TRAINING,PLANNED
2025-11-14T15:45:01,6,0,0,1,1,ABDOS FESSIERS,PLANNED
2025-11-14T15:53:49,8,2,0,0,1,ABDOS FESSIERS,PLANNED
2025-11-14T16:07:00,10,2,0,0,1,ABDOS FESSIERS,PLANNED
2025-11-14T16:20:06,12,2,0,0,,,
2025-11-14T16:32:15,10,0,0,2,,,
2025-11-14T16:44:43,11,1,0,0,,,
2025-11-14T16:54:00,11,3,3,0,,,
2025-11-14T17:07:22,11,1,1,0,,,
2025-11-14T17:21:44,13,2,0,0,,,
2025-11-14T17:41:18,16,3,0,0,,,
2025-11-14T17:55:30,20,6,2,0,3,STEP,PLANNED
2025-11-14T18:06:51,22,2,0,0,3,STEP,PLANNED
2025-11-14T18:19:38,20,0,2,0,3,STEP,PLANNED
2025-11-14T18:31:50,26,8,2,0,13,YAKO PUMP,PLANNED
2025-11-14T18:45:00,28,3,1,0,13,YAKO PUMP,PLANNED
2025-11-14T18:53:48,28,0,0,0,13,YAKO PUMP,PLANNED
2025-11-14T19:08:43,27,3,4,0,13,YAKO PUMP,PLANNED
2025-11-14T19:23:44,31,6,2,0,8,ABDOS FESSIERS,PLANNED
2025-11-14T19:42:20,35,7,3,0,8,ABDOS FESSIERS,PLANNED
2025-11-14T19:55:23,30,0,0,5,,,
2025-11-14T20:05:49,29,0,1,0,,,
2025-11-14T20:18:16,25,0,2,2,,,
2025-11-14T20:27:58,26,1,0,0,,,
2025-11-14T20:36:58,18,0,6,2,,,
2025-11-14T20:45:33,18,1,1,0,,,
2025-11-14T20:54:05,16,0,0,2,,,
2025-11-14T21:07:36,15,0,0,1,,,
2025-11-14T21:21:30,12,0,0,3,,,
2025-11-14T21:37:06,8,0,3,1,,,
2025-11-14T21:46:35,7,5,6,0,,,
2025-11-14T21:54:30,4,0,0,3,,,
2025-11-14T22:05:31,4,0,0,0,,,
2025-11-14T22:18:15,3,0,0,1,,,
2025-11-14T22:29:36,3,0,0,0,,,
2025-11-14T22:39:15,2,0,0,1,,,
2025-11-14T22:47:46,2,0,0,0,,,
2025-11-14T22:55:51,2,0,0,0,,,
2025-11-14T23:07:05,1,0,0,1,,,
2025-11-14T23:20:10,1,0,0,0,,,
2025-11-14T23:32:51,0,0,0,1,,,
2025-11-14T23:44:41,0,0,0,0,,,
2025-11-14T23:53:37,0,0,0,0,,,
2025-11-15T00:06:30,0,0,0,0,,,
2025-11-15T00:19:17,0,0,0,0,,,
2025-11-15T00:30:31,0,0,0,0,,,
2025-11-15T00:43:49,0,0,0,0,,,
2025-11-15T00:53:32,0,0,0,0,,,
2025-11-15T01:25:00,0,0,0,0,,,
2025-11-15T01:49:45,0,0,0,0,,,
2025-11-15T02:24:46,0,0,0,0,,,
2025-11-15T03:10:23,0,0,0,0,,,
2025-11-15T03:48:48,0,0,0,0,,,
2025-11-15T04:15:46,0,0,0,0,,,
2025-11-15T04:35:42,0,0,0,0,,,
2025-11-15T04:49:50,0,0,0,0,,,
2025-11-15T04:58:57,0,0,0,0,,,
2025-11-15T05:10:39,0,0,0,0,,,
2025-11-15T05:30:39,0,0,0,0,,,
2025-11-15T05:45:19,0,0,0,0,,,
2025-11-15T05:53:47,0,0,0,0,,,
2025-11-15T06:06:21,0,0,0,0,,,
2025-11-15T06:19:29,0,0,0,0,,,
2025-11-15T06:32:03,0,0,0,0,,,
2025-11-15T06:44:39,0,0,0,0,,,
2025-11-15T06:53:51,0,0,0,0,,,
2025-11-15T07:08:10,0,0,0,0,,,
2025-11-15T07:22:58,0,0,0,0,,,
2025-11-15T07:40:57,3,3,0,0,,,
2025-11-15T07:54:06,3,0,0,0,,,
2025-11-15T08:05:59,3,0,0,0,,,
2025-11-15T08:18:21,3,0,0,0,,,
2025-11-15T08:28:40,4,1,0,0,,,
2025-11-15T08:37:22,4,0,0,0,,,
2025-11-15T08:45:32,5,1,0,0,,,
2025-11-15T08:53:40,5,0,0,0,,,
2025-11-15T09:07:39,6,1,0,0,,,
2025-11-15T09:21:30,7,1,0,0,,,
2025-11-15T09:38:21,8,1,0,0,,,
2025-11-15T09:48:45,8,3,3,0,,,
2025-11-15T09:56:58,17,9,0,0,,,
2025-11-15T10:07:53,24,7,0,0,19,YAKO INTÉGRAL,PLANNED
